=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G245 | Fit: 0.43092 | Dist: 1710.2km | Tempo: ~1751min | Rec: 15 | Stag: 1
G246 | Fit: 0.43173 | Dist: 1705.4km | Tempo: ~1747min | Rec: 16 | Stag: 0
G247 | Fit: 0.43173 | Dist: 1705.4km | Tempo: ~1747min | Rec: 16 | Stag: 1
G248 | Fit: 0.43173 | Dist: 1705.4km | Tempo: ~1747min | Rec: 16 | Stag: 2
G249 | Fit: 0.43293 | Dist: 1701.8km | Tempo: ~1743min | Rec: 15 | Stag: 0
G250 | Fit: 0.43293 | Dist: 1701.8km | Tempo: ~1743min | Rec: 15 | Stag: 1
G251 | Fit: 0.43293 | Dist: 1701.8km | Tempo: ~1743min | Rec: 15 | Stag: 2
G252 | Fit: 0.43293 | Dist: 1701.8km | Tempo: ~1743min | Rec: 15 | Stag: 3
G253 | Fit: 0.43636 | Dist: 1687.0km | Tempo: ~1729min | Rec: 15 | Stag: 0
G254 | Fit: 0.43636 | Dist: 1687.0km | Tempo: ~1729min | Rec: 15 | Stag: 1
G255 | Fit: 0.43636 | Dist: 1687.0km | Tempo: ~1729min | Rec: 15 | Stag: 2
G256 | Fit: 0.43674 | Dist: 1683.5km | Tempo: ~1728min | Rec: 16 | Stag: 0
G257 | Fit: 0.43674 | Dist: 1683.5km | Tempo: ~1728min | Rec: 16 | Stag: 1
G258 | Fit: 0.43674 | Dist: 1683.5km | Tempo: ~1728min | Rec: 16 | Stag: 2
