=== INICIANDO AG PURO V3.1 (OTIMIZADO 2) ===
G1500 | Fit: 0.90734 | Dist: 411.7km | Tempo: ~422min | Rec: 4 | Stag: 5 | T:968.3s
=== FIM DO AG PURO V3.1 (OTIMIZADO) ===

======================================================================
MELHOR SOLUÇÃO ENCONTRADA (AG PURO V3.1 OTIMIZADO)
======================================================================
Fitness: 0.90734
Distância Total: 411.66 km
Tempo Estimado: ~422 min
Recargas Forçadas: 4
Rota (IDs): [1, 241, 344, 277, 88, 162, 137, 253]... → 1
======================================================================

Arquivo CSV gerado: rota_pmx.csv
Distância total: 411.66 km
